image_id,static_psnr,adaptive_psnr,static_ssim,adaptive_ssim,static_edge_preservation,adaptive_edge_preservation
IS20250115_171841_9465_61003253,28.151093715428786,28.36570367172098,0.6732012493227029,0.3525138546615658,0.9022043378995434,0.6626404109589041
IS20250115_190348_9148_86297118,28.48786932425363,28.31795372708388,0.9150830480675866,0.780678543718516,0.9154737442922375,0.7726381278538813
IS20250115_191316_7227_10120577,29.898813414284362,28.411371710748895,0.9092972955726253,0.7922951491105936,0.9276107305936073,0.7660102739726027
IS20250116_180218_7445_56958340,28.279142568627876,28.834666062728182,0.6997665455223839,0.6154932631638808,0.8066324200913242,0.6757054794520548
IS20250218_193552_3393_78829426,27.79572323486093,28.43804632537307,0.510368988775733,0.8151850836737581,0.7720216894977169,0.7579075342465753
IS20250218_193621_8940_10081171,27.850940834472595,28.357945009313482,0.48146844793611393,0.7797424154415227,0.7612728310502284,0.7774509132420091
IS20250221_192657_5718_56712676,28.08786245471064,28.568816094146374,0.6640229666815342,0.799602461245459,0.8324041095890411,0.8864714611872146
R10,27.714543864543973,28.871726227689155,0.632867165396974,0.8891995227667281,0.8880885719046533,0.9791752538894638
R4,27.728868687567157,29.27650224000231,0.6837075221694748,0.9136056925631162,0.987147119955098,0.9989695332643432
R5,27.95610738115737,29.0934328247568,0.6883600992886088,0.8810196592682742,0.8795811920088401,0.967868622068651
R6,27.55433714194941,29.219295203580366,0.5946302802048945,0.8926392195459583,0.8333072062512059,0.9828920597056812
R7,27.775339388971684,28.563397768613473,0.6088124945681106,0.7611530660961928,0.8048356295932506,0.7125743251539123
R9,27.689908988694242,28.58637769814814,0.5546498340395172,0.8997351777151842,0.8526651816252434,0.9919207022959676
Reference_Output_Quality,28.01462308875147,28.560696559759467,0.779435646275981,0.742288034770798,0.8362889823373617,0.8579090514444074
